,level_0,index,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,0
0,8987.0,582835.0,CA,Canada,Ontario,Timiskaming District,,,,2020-02-15,3.0,,,,,,
1,8988.0,582836.0,CA,Canada,Ontario,Timiskaming District,,,,2020-02-16,3.0,,,,,,
2,8989.0,582837.0,CA,Canada,Ontario,Timiskaming District,,,,2020-02-17,,,,,-60.0,,
3,8990.0,582838.0,CA,Canada,Ontario,Timiskaming District,,,,2020-02-18,-12.0,16.0,,,0.0,,
4,8991.0,582839.0,CA,Canada,Ontario,Timiskaming District,,,,2020-02-19,-3.0,8.0,,,3.0,,
5,8992.0,582840.0,CA,Canada,Ontario,Timiskaming District,,,,2020-02-20,3.0,21.0,,,1.0,,
6,8993.0,582841.0,CA,Canada,Ontario,Timiskaming District,,,,2020-02-21,3.0,2.0,,,-6.0,,
7,8994.0,582842.0,CA,Canada,Ontario,Timiskaming District,,,,2020-02-22,7.0,,,,,,
8,8995.0,582843.0,CA,Canada,Ontario,Timiskaming District,,,,2020-02-23,10.0,,,,,,
9,8996.0,582844.0,CA,Canada,Ontario,Timiskaming District,,,,2020-02-24,-1.0,6.0,,,6.0,,
10,8997.0,582845.0,CA,Canada,Ontario,Timiskaming District,,,,2020-02-25,2.0,11.0,,,2.0,,
11,8998.0,582846.0,CA,Canada,Ontario,Timiskaming District,,,,2020-02-26,0.0,13.0,,,3.0,,
12,8999.0,582847.0,CA,Canada,Ontario,Timiskaming District,,,,2020-02-27,-39.0,,,,-15.0,,
13,9000.0,582848.0,CA,Canada,Ontario,Timiskaming District,,,,2020-02-28,1.0,1.0,,,-1.0,,
14,9001.0,582849.0,CA,Canada,Ontario,Timiskaming District,,,,2020-02-29,19.0,,,,,,
15,9002.0,582850.0,CA,Canada,Ontario,Timiskaming District,,,,2020-03-01,12.0,,,,,,
16,9003.0,582851.0,CA,Canada,Ontario,Timiskaming District,,,,2020-03-02,4.0,6.0,,,0.0,,
17,9004.0,582852.0,CA,Canada,Ontario,Timiskaming District,,,,2020-03-03,3.0,7.0,,,3.0,,
18,9005.0,582853.0,CA,Canada,Ontario,Timiskaming District,,,,2020-03-04,0.0,9.0,,,0.0,,
19,9006.0,582854.0,CA,Canada,Ontario,Timiskaming District,,,,2020-03-05,10.0,7.0,,,1.0,,
20,9007.0,582855.0,CA,Canada,Ontario,Timiskaming District,,,,2020-03-06,6.0,-1.0,,,9.0,,
21,9008.0,582856.0,CA,Canada,Ontario,Timiskaming District,,,,2020-03-07,19.0,,,,,,
22,9009.0,582857.0,CA,Canada,Ontario,Timiskaming District,,,,2020-03-08,17.0,,,,,,
23,9010.0,582858.0,CA,Canada,Ontario,Timiskaming District,,,,2020-03-09,2.0,3.0,,,2.0,,
24,9011.0,582859.0,CA,Canada,Ontario,Timiskaming District,,,,2020-03-10,-5.0,-3.0,,,-4.0,,
25,9012.0,582860.0,CA,Canada,Ontario,Timiskaming District,,,,2020-03-11,5.0,10.0,,,1.0,,
26,9013.0,582861.0,CA,Canada,Ontario,Timiskaming District,,,,2020-03-12,7.0,,,,1.0,,
27,9014.0,582862.0,CA,Canada,Ontario,Timiskaming District,,,,2020-03-13,1.0,10.0,,,-1.0,,
28,9015.0,582863.0,CA,Canada,Ontario,Timiskaming District,,,,2020-03-14,3.0,,,,,,
29,9016.0,582864.0,CA,Canada,Ontario,Timiskaming District,,,,2020-03-16,,19.0,,,-18.0,,
30,9017.0,582865.0,CA,Canada,Ontario,Timiskaming District,,,,2020-03-17,,25.0,,,-20.0,,
31,9018.0,582866.0,CA,Canada,Ontario,Timiskaming District,,,,2020-03-18,-28.0,5.0,,,-26.0,,
32,9019.0,582867.0,CA,Canada,Ontario,Timiskaming District,,,,2020-03-19,-23.0,21.0,,,-26.0,,
33,9020.0,582868.0,CA,Canada,Ontario,Timiskaming District,,,,2020-03-20,-44.0,-21.0,,,-28.0,,
34,9021.0,582869.0,CA,Canada,Ontario,Timiskaming District,,,,2020-03-21,-36.0,,,,,,
35,9022.0,582870.0,CA,Canada,Ontario,Timiskaming District,,,,2020-03-23,,-7.0,,,-29.0,,
36,9023.0,582871.0,CA,Canada,Ontario,Timiskaming District,,,,2020-03-24,-43.0,-10.0,,,-36.0,,
37,9024.0,582872.0,CA,Canada,Ontario,Timiskaming District,,,,2020-03-25,-50.0,-27.0,,,-40.0,,
